,A marketing poster for a cereal company. Do not include text,"Illustration of a hand holding up a spoon filled with crunchy cereal, with milk droplets splashing around. The background has a radiant sun rising, casting a golden hue on wheat fields, symbolizing fresh ingredients. Birds can be seen flying in the distance, and there are cartoon characters of diverse descent dancing around the cereal bowl at the bottom."
,A marketing poster for a soda company. Do not include text,"Photo of a vibrant beach scene during sunset. Golden hues paint the sky as the sun meets the horizon. In the foreground, a diverse group of friends joyfully clink their soda bottles together, celebrating the moment. The soda bottles are glistening with condensation, indicating their refreshing coolness. Palm trees sway in the background, and the sea waves gently crash against the shore."
,A marketing poster for a rocket club. Do not include text,"Illustration of a lush green meadow with children of various descents and genders launching hand-held rockets into the air. The rockets produce colorful trails as they ascend. In the background, there's a larger model rocket preparing for launch, with a group of adults supervising and ensuring safety. The entire scene is bathed in the warm light of a setting sun."
,A marketing poster for a banana shop. Do not include text,"Illustration of a hand holding up a perfectly ripe banana against a vibrant tropical background. Surrounding the banana are smaller illustrations of banana trees, with monkeys playfully hanging from the branches. The scene is colorful and cheerful, with diverse customers in the distance happily walking with baskets filled with bananas."
,A marketing poster for a electric car company. Do not include text,"Photo of a sleek, modern electric car driving on a scenic mountain road during sunset. The sky is painted with hues of orange, pink, and purple, and the car's headlights shine brightly. Tall pine trees line the road, and distant mountains form a majestic backdrop."
,A marketing poster for a ramen shop. Do not include text,"Illustration of a hand holding a bowl of delicious ramen, with noodles dripping off the chopsticks. The background shows the silhouette of a traditional Japanese cityscape at sunset, with the glow of lanterns illuminating the streets. There are cherry blossoms falling gently around the scene."
,A marketing poster for a furniture store. Do not include text,"Photo of a cozy and stylish living room filled with various pieces of furniture from a furniture store. The room has a modern sofa with colorful throw pillows, a sleek coffee table with a vase of fresh flowers, and a plush area rug. In the corner, there's a chic reading nook with a comfortable armchair, a floor lamp, and a bookshelf filled with books. Large windows in the background let in natural light, highlighting the quality and design of the furniture."
,A marketing poster for a phone company. Do not include text,"Photo of a sleek, modern smartphone placed on a wooden desk with sunlight streaming in from a window. The screen of the phone is illuminated, showcasing its vibrant display. Surrounding the phone are various elements like a potted plant, headphones, and a coffee cup, emphasizing a relaxed work environment."
,A marketing poster for a grocery with green colors. Do not include text,"Illustration of a grocery shopping basket filled with fresh green vegetables like lettuce, broccoli, zucchini, and green bell peppers. The background has a gradient of different shades of green, and there's a subtle pattern of green leaves."
,A  marketing poster for oranges. Do not include text,"Photo of a sunlit orchard with ripe oranges hanging from the trees, reflecting the golden rays of the setting sun. In the foreground, a wooden basket filled with freshly picked oranges sits on a rustic table, while in the background, the silhouette of a farmer stands proudly, looking at the horizon."
,A marketing poster for plants. Do not include text,"Photo of an array of vibrant, healthy indoor plants arranged aesthetically on wooden shelves against a white wall. The sunlight filters through a sheer curtain, casting a soft glow on the plants. A variety of plant species, including succulents, ferns, and small flowering plants, are displayed in terracotta pots of different sizes, creating a refreshing and natural ambiance."
,A marketing poster for a computer club. Do not include text,"Illustration of a lively and engaging computer club where diverse individuals of different genders and descents are actively involved in various computing activities. An African-American woman is programming on a computer, a Caucasian man is discussing a project with a group, and an Asian individual is assembling hardware components. The scene is dynamic and collaborative, highlighting the spirit of exploration and learning in a computer club."
,A marketing poster for a satelite club. Do not include text,"Photo of a rooftop observatory under a starlit night sky. Diverse members of various genders and descents are seen peering through telescopes, pointing at constellations, and discussing satellite trajectories. On a table, there's a detailed model of a satellite, along with laptops displaying satellite data."
,A marketing poster for a campus mental health awareness week. Do not include text,"Photo of a serene campus setting with a tranquil pond and greenery. Diverse students of various genders and descents sit in circles, engaged in open conversations. Some students are meditating, while others are reading or writing in journals. Balloons in soft pastel colors float in the background, symbolizing hope and support."
,A marketing poster for a chess club. Do not include text,"Photo of a dramatic scene in a dimly lit room where diverse individuals of various genders and descent are deeply engrossed in playing chess. The focus is on a central table where a Caucasian woman and an Asian man are locked in a tense match. The chessboard is ornate, with meticulously carved pieces glinting in the low light. In the background, other players are hunched over their own boards, showcasing an atmosphere of concentration and competition."
,A marketing poster for a technology university. ,"Illustration of a vibrant and bustling technology university campus. Various academic buildings are designed with sleek, modern aesthetics, and the sky is filled with drones and autonomous vehicles. In the foreground, a Caucasian woman, an African-American man, and an Asian woman, all students, are collaborating on a robotics project, assembling a robot arm. The background features a lively scene with students of various descents and genders engaged in activities such as virtual reality simulations and discussions around 3D-printed models."
,A marketing poster for a water bottles. Do not include text,"Illustration of a dynamic and vibrant scene showcasing diverse people of different genders and descents actively using water bottles in various settings. An African-American woman is jogging in a park while holding a sleek stainless steel bottle, an Asian man is hiking and sipping from a colorful, collapsible silicone bottle, and a Caucasian girl is at her school desk using a glass bottle with a bamboo lid. The scene emphasizes the versatility and necessity of water bottles in everyday life."
,A marketing poster for a backpack company. Do not include text,"Photo of a picturesque mountain landscape during sunrise. In the foreground, a male hiker of Asian descent and a female hiker of African descent are trekking up a trail, both wearing durable backpacks with the company logo subtly visible. The scene emphasizes the durability and utility of the backpacks in rugged terrains."
,A marketing poster for winter clothes. Do not include text,"Illustration of a lively winter market scene where people of various genders and descents are seen wearing fashionable winter clothes. A Caucasian man is browsing stalls in a sophisticated peacoat and beanie, an African-American woman is sipping hot chocolate wearing a chic knit sweater and stylish boots, and a group of children of diverse descent are laughing and playing, adorned in vibrant winter jackets and mittens. The setting is vibrant with holiday lights and the ambiance of a joyful winter."
,A marketing poster for a music festival. Do not include text,"Photo of a vibrant music festival scene with various musicians performing on a large stage, adorned with colorful lights. The sky is painted with hues of sunset, and the audience is filled with diverse people dancing and enjoying the music, holding glow sticks and waving flags. In the foreground, a few food stalls and tents are set up, offering refreshments."
,A marketing poster for a sofa shop. Do not include text,"Photo of a luxurious and cozy interior of a sofa shop, showcasing a diverse array of stylish and comfortable sofas. The scene includes a variety of sofa styles, such as a classic leather couch, a modern sectional, and a vintage velvet loveseat. The ambiance is warm and inviting with soft lighting, elegant decor, and plush cushions scattered around. The setting subtly emphasizes the comfort and quality of the sofas on display."
,A marketing poster for a health and wellness brand. Do not include text,"Photo of a serene beach during sunrise. The sands are golden, and the waves gently caress the shore. In the scene, a diverse group of individuals is practicing yoga, with each person in a different pose. In the background, a male instructor of Hispanic descent guides them. The atmosphere conveys tranquility and connection to nature, emphasizing the brand's commitment to holistic wellness."
